"","x"
"1687",80.8
"1688",81
"1689",80.8
"1690",79.5
"1691",78.6
"1692",79
"1693",78.1
"1694",77.9
"1695",77.9
"1696",77.7
"1697",77.5
"1698",77.9
"1699",77.7
"1700",77.4
"1701",78.4
"1702",80.2
"1703",81.1
"1704",81.5
"1705",81.9
"1706",80.1
"1707",81.1
"1708",81.3
"1709",80.8
"1710",81
"1711",80.2
"1712",79.7
"1713",78.4
"1714",77.9
"1715",77.9
"1716",77.7
"1717",77.9
"1718",77.7
"1719",77.5
"1720",77.5
"1721",77.5
"1722",77.5
"1723",77.7
"1724",77.9
"1725",80.1
"1726",81.5
"1727",82.6
"1728",82.6
"1729",83.8
"1730",82.9
"1731",83.5
"1732",82.8
"1733",82.9
"1734",82.4
"1735",81.3
"1736",81
"1737",80.8
"1738",80.8
"1739",80.2
"1740",80.1
"1741",80.2
"1742",79.9
"1743",80.1
"1744",79.9
"1745",79.9
"1746",79.5
"1747",79.3
"1748",79.7
"1749",80.2
"1750",80.8
"1751",82
"1752",82.6
"1753",84.4
"1754",84.2
"1755",84.4
"1756",83.8
"1757",83.5
"1758",83.3
"1759",82
"1760",81.7
"1761",81
"1762",80.8
"1763",80.8
"1764",77.5
"1765",77.4
"1766",80.6
"1767",80.2
"1768",79.7
"1769",79.9
"1770",79.7
"1771",79.3
"1772",79.9
"1773",80.2
"1774",79.2
"1775",81.1
"1776",82.4
"1777",82.4
"1778",82.9
"1779",83.3
"1780",83.7
"1781",83.7
"1782",82.6
"1783",82
"1784",81.9
"1785",81
"1786",80.6
"1787",80.4
"1788",80.6
"1789",80.4
"1790",80.2
"1791",80.1
"1792",79.9
"1793",79.7
"1794",79.7
"1795",79.5
"1796",79.5
"1797",80.1
"1798",80.8
"1799",81.5
"1800",82
"1801",82.8
"1802",83.1
"1803",83.7
"1804",82
"1805",80.8
"1806",81
"1807",80.4
"1808",79.7
"1809",79.9
"1810",79.9
"1811",79.9
"1812",80.1
"1813",79.7
"1814",79.7
"1815",79.7
"1816",78.6
"1817",78.6
"1818",78.4
"1819",78.4
"1820",79.3
"1821",80.2
"1822",80.6
"1823",81.7
"1824",82.2
"1825",82
"1826",83.1
"1827",83.7
"1828",82.2
"1829",82
"1830",81.5
"1831",81
"1832",80.2
"1833",79.9
"1834",79.5
"1835",79.3
"1836",78.8
"1837",78.4
"1838",77.9
"1839",77.7
"1840",77.9
"1841",77.7
"1842",77.5
